,AgencySystem_Name,SiteSystem_Name,Agency_Id,Site_Id,Site_AgencyId,Site_Status,site_lat,site_long,site_zip_lat,site_zip_long,site_address
1580,GOODWILL INDUSTRIES OF NORTHERN WI AND UP MI,MARINETTE - GOODWILL INDUSTRIES OF NORTHERN WI AND UP MI,1558,152.0,1558.0,active,45.08614707,-87.62963658,45.09188,-87.67188,"1805 Pierce Avenue Marinette WI, 54143"
1581,WISCONSIN DEPARTMENT OF REVENUE,WISCONSIN DEPARTMENT OF REVENUE - MARATHON COUNTY,1559,3582.0,1559.0,active,44.96267,-89.628675,45.01944,-89.50459,"731 North 1st Street Suite 6000 Wausau WI, 54403"
1582,JEWISH FEDERATION OF MADISON,JEWISH FEDERATION OF MADISON - COUNTY ROUTE PD,1560,5584.0,1560.0,active,43.00959608,-89.59160932,42.994873,-89.56774,"7762 County Route PD Verona WI, 53593"
1583,JEWISH FEDERATION OF MADISON,JEWISH FEDERATION OF MADISON - ENTERPRISE LN,1560,8004.0,1560.0,active,43.05782526,-89.49117492,43.028484,-89.49091,"6434 Enterprise Lane Madison WI, 53719"
1584,PEPIN COUNTY SHERIFF'S OFFICE,PEPIN COUNTY SHERIFF'S OFFICE,1562,7747.0,1562.0,active,44.6223132,-91.9669776,44.600117,-91.899666,"740 7th Avenue West Government Center Durand WI, 54736"
1585,ZZZWISCONSIN DEPARTMENT OF TOURISM,ZZZWISCONSIN DEPARTMENT OF TOURISM,1564,1998.0,1564.0,active,43.07316871,-89.38613348,43.0707,-89.37565,"201 W Washington Ave Madison WI, 53703"
1586,MADISON PUBLIC LIBRARY,CENTRAL LIBRARY,1566,6113.0,1566.0,active,43.073349,-89.3874442,43.0707,-89.37565,"201 West Mifflin Street Madison WI, 53703"
1587,MADISON PUBLIC LIBRARY,HAWTHORNE BRANCH,1566,6172.0,1566.0,active,43.10219216,-89.34638572,43.12822,-89.384636,"2707 E Washington Ave Madison WI, 53704"
1588,MADISON PUBLIC LIBRARY,LAKEVIEW BRANCH,1566,6174.0,1566.0,active,43.1276876,-89.3630139,43.12822,-89.384636,"2845 North Sherman Avenue Madison WI, 53704"
1589,MADISON PUBLIC LIBRARY,MONROE STREET BRANCH,1566,6811.0,1566.0,active,43.0659346,-89.4151901,43.020435,-89.412674,"1705 MONROE STREET MADISON WI, 53711"
1590,MADISON PUBLIC LIBRARY,SEQUOYA BRANCH,1566,6814.0,1566.0,active,43.053875,-89.4502948,43.020435,-89.412674,"4340 TOKAY BOULEVARD MADISON WI, 53711"
1591,MADISON PUBLIC LIBRARY,MEDOWRIDGE BRANCH,1566,6816.0,1566.0,active,43.0323812,-89.4786213,43.020435,-89.412674,"5726 Raymond Road Madison WI, 53711"
1592,MADISON PUBLIC LIBRARY,GOODMAN SOUTH MADISON BRANCH,1566,7169.0,1566.0,active,43.0414961,-89.3944589,43.03725,-89.38687,"2222 South Park Street Madison WI, 53713"
1593,MADISON PUBLIC LIBRARY,PINNEY BRANCH,1566,7769.0,1566.0,active,43.0841183,-89.3172588,43.060802,-89.32101,"516 Cottage Grove Road Madison WI, 53716"
1594,MADISON PUBLIC LIBRARY,ALICIA ASHMAN BRANCH,1566,7860.0,1566.0,active,43.0760683,-89.5176744,43.074562,-89.52165,"733 North High Point Road Madison WI, 53717"
1595,MENOMINEE COUNTY CIRCUIT COURT/FAMILY DIVISION,MENOMINEE COUNTY CIRCUIT COURT/FAMILY DIVISION,1567,154.0,1567.0,active,45.10770377,-87.61257044,45.234592,-87.56343,"839 10th Avenue Menominee MI, 49858"
1596,ZZINACTIVE AT HOME ANGELS,ZZINACTIVE AT HOME ANGELS,1568,1425.0,1568.0,active,44.52074525,-87.98543188,44.5195,-88.0199,"PO BOX 12703 Green Bay WI, 54307"
1597,MADISON SCHOOL AND COMMUNITY RECREATION,ZZZINACTIVE - MADISON SCHOOL AND COMMUNITY RECREATION - W DAYTON ST,1569,5881.0,1569.0,active,43.0707664,-89.39481669,43.0707,-89.37565,"545 West Dayton Street Madison WI, 53703"
1598,MADISON SCHOOL AND COMMUNITY RECREATION,MSCR YOUTH RESOURCE CENTER - O'KEEFFE MIDDLE SCHOOL,1569,5882.0,1569.0,active,43.0864312,-89.3569007,43.0707,-89.37565,"510 South Thornton Avenue Madison WI, 53703"
1599,MADISON SCHOOL AND COMMUNITY RECREATION,MSCR YOUTH RESOURCE CENTER - BLACK HAWK MIDDLE SCHOOL,1569,6176.0,1569.0,active,43.14699,-89.369528,43.12822,-89.384636,"1402 Wyoming Way Madison WI, 53704"
1600,MADISON SCHOOL AND COMMUNITY RECREATION,MSCR YOUTH RESOURCE CENTER - SHERMAN MIDDLE SCHOOL,1569,6177.0,1569.0,active,43.1180906,-89.3621326,43.12822,-89.384636,"1610 Ruskin Street Madison WI, 53704"
1601,MADISON SCHOOL AND COMMUNITY RECREATION,MSCR - HOYT,1569,6508.0,1569.0,active,43.068815,-89.439247,43.074677,-89.45888,"3802 Regent Street Madison WI, 53705"
1602,MADISON SCHOOL AND COMMUNITY RECREATION,MSCR YOUTH RESOURCE CENTER - CHEROKEE MIDDLE SCHOOL,1569,6818.0,1569.0,active,43.04243984,-89.44959091,43.020435,-89.412674,"4301 Cherokee Drive Madison WI, 53711"
1603,MADISON SCHOOL AND COMMUNITY RECREATION,MSCR YOUTH RESOURCE CENTER - TOKI MIDDLE SCHOOL,1569,6819.0,1569.0,active,43.0336226,-89.4752515,43.020435,-89.412674,"5606 Russett Road Madison WI, 53711"
1604,MADISON SCHOOL AND COMMUNITY RECREATION,MEADOWOOD NEIGHBORHOOD CENTER,1569,6821.0,1569.0,active,43.0323828,-89.4789754,43.020435,-89.412674,"5740 Raymond Road Madison WI, 53711"
1605,MADISON SCHOOL AND COMMUNITY RECREATION,MSCR YOUTH RESOURCE CENTER - WRIGHT MIDDLE SCHOOL,1569,7171.0,1569.0,active,43.0486204,-89.4002669,43.03725,-89.38687,"1717 Fish Hatchery Road Madison WI, 53713"
1606,MADISON SCHOOL AND COMMUNITY RECREATION,MSCR YOUTH RESOURCE CENTER - WHITEHORSE MIDDLE SCHOOL,1569,7568.0,1569.0,active,43.0919597,-89.3238313,43.10124,-89.312614,"230 Schenk Street Madison WI, 53714"
1607,MADISON SCHOOL AND COMMUNITY RECREATION,MSCR - PFLAUM ROAD,1569,7771.0,1569.0,active,43.0614643,-89.3212035,43.060802,-89.32101,"501 Pflaum Road Madison WI, 53716"
1608,MADISON SCHOOL AND COMMUNITY RECREATION,MSCR - EAST,1569,7772.0,1569.0,active,43.0853025,-89.3009461,43.060802,-89.32101,"4620 Cottage Grove Road Madison WI, 53716"
1609,MADISON SCHOOL AND COMMUNITY RECREATION,MSCR YOUTH RESOURCE CENTER - JEFFERSON MIDDLE SCHOOL,1569,7862.0,1569.0,active,43.0656742,-89.5012726,43.074677,-89.45888,"101 South Gammon Road Madison WI, 53705"
1610,MADISON SCHOOL AND COMMUNITY RECREATION,MSCR - ODANA,1569,8005.0,1569.0,active,43.0498564,-89.4785256,43.028484,-89.49091,"5625 Odana Road Madison WI, 53719"
1611,GRANT COUNTY CLERK OF COURT,GRANT COUNTY CLERK OF COURT,1571,7751.0,1571.0,active,42.8475048,-90.7101557,42.850716,-90.68956,"130 West Maple Street Lancaster WI, 53813"
1612,ZZZWISCONSIN DEPARTMENT OF TRANSPORTATION,ZZZDIVISION OF MOTOR VEHICLES - WAUSAU OFFICE,1572,2005.0,1572.0,active,44.90563049,-89.65308943,44.95693,-89.71402,"5301 Rib Mountain Dr Wausau WI, 54401"
1613,ZZZWISCONSIN DEPARTMENT OF TRANSPORTATION,ZZZDIVISION OF MOTOR VEHICLES - STEVENS POINT OFFICE,1572,2009.0,1572.0,active,44.52524034,-89.52391536,44.530235,-89.49312,"1001 Maple Bluff Rd Ste 2 Stevens Point WI, 54482"
1614,ZZZWISCONSIN DEPARTMENT OF TRANSPORTATION,ZZZDIVISION OF MOTOR VEHICLES - RHINELANDER OFFICE,1572,2011.0,1572.0,active,45.63563925,-89.44457422,45.6748,-89.345695,"510 Hanson Lake Rd Rhinelander WI, 54501"
1615,ZZZWISCONSIN DEPARTMENT OF TRANSPORTATION,ZZZDIVISION OF MOTOR VEHICLES - ABBOTSFORD SERVICE CENTER,1572,2013.0,1572.0,active,44.94725423,-90.3195786,44.974308,-90.29751,"203 N 1st St Abbotsford WI, 54405"
1616,ZZZWISCONSIN DEPARTMENT OF TRANSPORTATION,ZZZDIVISION OF MOTOR VEHICLES - EAGLE RIVER SERVICE CENTER,1572,2016.0,1572.0,active,45.91406118,-89.25682812,45.951385,-89.26006,"302 W Pine St Eagle River WI, 54521"
1617,ZZZWISCONSIN DEPARTMENT OF TRANSPORTATION,ZZZDIVISION OF MOTOR VEHICLES - MERRILL SERVICE CENTER,1572,2537.0,1572.0,active,45.18068511,-89.68762395,45.230576,-89.72551,"100 S Mill St Merrill WI, 54452"
1618,ZZZWISCONSIN DEPARTMENT OF TRANSPORTATION,ZZZDIVISION OF MOTOR VEHICLES - MINOCQUA SERVICE CENTER,1572,2540.0,1572.0,active,45.87078641,-89.70658999,45.873775,-89.84136,"415 Menominee St Minocqua WI, 54548"
1619,ZZZWISCONSIN DEPARTMENT OF TRANSPORTATION,ZZZINACTIVE PROGRAMS,1572,10177.0,1572.0,active,43.08082581,-89.39213926,43.0733,-89.4012," Madison WI, 53707"
1620,ZZZNIAGARA POST OFFICE,ZZZNIAGARA POST OFFICE,1573,155.0,1573.0,active,45.78396089,-88.0078822,45.727173,-87.97987,"617 Washington Avenue Niagara WI, 54151"
1621,MARSHALL AREA COMMUNITY CENTER,MARSHALL AREA COMMUNITY CENTER,1576,4356.0,1576.0,active,43.16732381,-89.06721858,43.1731,-89.079056,"226 Madison Street Marshall WI, 53559"
1622,NSIGHT TELSERVICES,NIAGARA,1577,156.0,1577.0,active,45.771323,-87.99502,45.727173,-87.97987,"1133 Main Street Niagara WI, 54151"
1623,NSIGHT TELSERVICES,NEWTONBURG MANITOWOC,1577,37319.0,1577.0,active,44.0520656,-87.7573818,44.10854,-87.72284,"7520 English Lake Road Manitowoc WI, 54220"
1624,NSIGHT TELSERVICES,CELLCOM SHAWANO,1577,37320.0,1577.0,active,44.7877423,-88.6099969,44.753555,-88.66879,"511 North Main Street Shawano WI, 54166"
1625,NSIGHT TELSERVICES,PULASKI,1577,37321.0,1577.0,active,44.6716935,-88.2419198,44.673923,-88.28322,"122 South Saint Augustine Street Pulaski WI, 54162"
1626,ISLAND PLACE APARTMENTS,ISLAND PLACE APARTMENTS,1578,1224.0,1578.0,active,44.9545014,-89.6304246,45.01944,-89.50459,"400 RIVER DR WAUSAU WI, 54403"
1627,GRANT COUNTY CLERK,GRANT COUNTY CLERK,1580,7821.0,1580.0,active,42.8478152,-90.7111981,42.850716,-90.68956,"111 South Jefferson Street Lancaster WI, 53813"
1628,"ZVLINACTIVE FAMILIES OF CHILDREN WITH CANCER, INC","ZVLINACTIVE FAMILIES OF CHILDREN WITH CANCER, INC",1581,1428.0,1581.0,active,44.52074525,-87.98543188,44.5195,-88.0199,"P.O. Box 1494 Green Bay WI, 54305"
1629,MEDFORD CITY HALL,MEDFORD CITY HALL,1582,976.0,1582.0,active,45.1305122,-90.34012875,45.197315,-90.39998,"639 South 2nd Street Medford WI, 54451"
1630,MARATHON COUNTY VETERANS SERVICE OFFICE,MARATHON COUNTY VETERANS SERVICE OFFICE,1583,1227.0,1583.0,active,44.9578354,-89.6316259,45.01944,-89.50459,"212 RIVER DR #1 WAUSAU WI, 54403"
1631,ZZZGILLETT CITY GOVERNMENT,ZZZGILLETT CITY GOVERNMENT,1584,157.0,1584.0,active,44.88969879,-88.30739095,44.91606,-88.34808,"150 North McKenzie Avenue Gillett WI, 54124"
1632,ZZZGILLETT CITY GOVERNMENT,ZZZGILLETT GOVERNMENT,1584,160.0,1584.0,active,44.88443842,-88.31348448,44.91606,-88.34808,"212 Pulcifer Avenue Gillett WI, 54124"
1633,GRANT COUNTY DISTRICT ATTORNEY,GRANT COUNTY DISTRICT ATTORNEY,1586,7823.0,1586.0,active,42.8475048,-90.7101557,42.850716,-90.68956,"130 West Maple Street Lancaster WI, 53813"
1634,BAY AREA LIFE CENTER,BAY AREA LIFE CENTER,1587,1431.0,1587.0,active,44.5035427,-88.0158614,44.483376,-88.02269,"743 SOUTH MONROE AVENUE GREEN BAY WI, 54301"
1635,MARY HOUSE OF HOSPITALITY,MARY HOUSE OF HOSPITALITY,1588,9091.0,1588.0,active,43.73242064,-89.65714833,43.69647,-89.76022,"3579 County Road G Wisconsin Dells WI, 53965"
1636,GRANT COUNTY REGISTER OF DEEDS,GRANT COUNTY REGISTER OF DEEDS,1591,7825.0,1591.0,active,42.8478152,-90.7111981,42.850716,-90.68956,"111 South Jefferson Street Lancaster WI, 53813"
1637,RAINBOW HOUSE DOMESTIC ABUSE SERVICES,RAINBOW HOUSE DOMESTIC ABUSE SERVICES,1592,161.0,1592.0,active,45.0984018,-87.6269345,45.09188,-87.67188,"1530 Main Street Marinette WI, 54143"
1638,RAINBOW HOUSE DOMESTIC ABUSE SERVICES,OCONTO OUTREACH OFFICE,1592,162.0,1592.0,active,44.886386,-87.868894,44.8877,-87.93925,"1008 Pecor Street Suite B Oconto WI, 54153"
1639,ZZZLINCOLN HILLS SCHOOL,ZZZLINCOLN HILLS SCHOOL,1593,1684.0,1593.0,active,45.3264716,-89.6396878,45.374737,-89.6315,"W4380 COPPER LAKE AVE IRMA WI, 54442"
1640,zzzinactive DE PERE HOUSING AUTHORITY,zzzinactive DE PERE HOUSING AUTHORITY,1594,1435.0,1594.0,active,44.44696106,-88.08440838,44.409664,-88.09825,"850 Morning Glory Lane De Pere WI, 54115"
1641,MEDFORD TAXI,MEDFORD TAXI,1595,980.0,1595.0,active,45.13931944,-90.34577856,45.197315,-90.39998,"120 North Main Street Medford WI, 54451"
1642,MCFARLAND YOUTH RESOURCE CENTER,MCFARLAND YOUTH RESOURCE CENTER,1596,4293.0,1596.0,active,43.0140567,-89.2941468,43.00641,-89.287994,"5114 FARWELL STREET MCFARLAND WI, 53558"
1643,MARATHON COUNTY DEPARTMENT OF SOCIAL SERVICES,MARATHON COUNTY DEPARTMENT OF SOCIAL SERVICES,1598,1688.0,1598.0,active,44.9500472,-89.6244774,45.01944,-89.50459,"400 E THOMAS ST WAUSAU WI, 54403"
1644,MARATHON COUNTY DEPARTMENT OF SOCIAL SERVICES,ZZZMARATHON COUNTY RESTORATIVE JUSTICE PROGRAM,1598,9289.0,1598.0,active,44.906153,-89.590262,44.895138,-89.52713,"2713 SCHOFIELD AVE Goodwill Industries Building SCHOFIELD WI, 54476"
1645,ZZZOCONTO CITY GOVERNMENT,ZZZOCONTO CITY GOVERNMENT,1599,163.0,1599.0,active,44.88669,-87.8653331,44.8877,-87.93925,"1210 Main Street Oconto WI, 54153"
1646,GRANT COUNTY EMERGENCY MANAGEMENT,GRANT COUNTY EMERGENCY MANAGEMENT,1601,7754.0,1601.0,active,42.8243011,-90.6857369,42.850716,-90.68956,"8820 Hwy 35 and 61 S Lancaster WI, 53813"
1647,ZZZINACTIVE - DOUBLE D TOURS LLC,ZZZINACTIVE - DOUBLE D TOURS LLC,1602,7930.0,1602.0,active,43.06477737,-89.2915529,43.10802,-89.26928,"2330 Vondor Rd Madison WI, 53718"
1648,OKATO MANOR,OKATO MANOR,1604,164.0,1604.0,active,44.8921169,-87.8676537,44.8877,-87.93925,"407 Arbutus Avenue Oconto WI, 54153"
1649,TOMORROWS HOME FOUNDATION,TOMORROWS HOME FOUNDATION,1605,984.0,1605.0,active,43.14392727,-89.30772483,43.0707,-89.37565,"258 Corporate  Drive Madison WI, 53703"
1650,CATHOLIC CHARITIES OF THE DIOCESE OF GREEN BAY,CATHOLIC CHARITIES OF THE DIOCESE OF GREEN BAY,1606,1439.0,1606.0,active,44.4873663,-88.0244205,44.483376,-88.02269,"1825 RIVERSIDE DRIVE GREEN BAY WI, 54301"
1651,CATHOLIC CHARITIES OF THE DIOCESE OF GREEN BAY,CATHOLIC CHARITIES OF DIOCESE OF GREEN BAY-LEAVEN COMMUNITY RESOURCE CENTER,1606,36651.0,1606.0,active,44.2279404,-88.4145992,44.182606,-88.34433,"1475 Opportunity Way Menasha WI, 54952"
1652,CATHOLIC CHARITIES OF THE DIOCESE OF GREEN BAY,CATHOLIC CHARITIES OF DIOCESE OF GREEN BAY-3900 HALL AVE.,1606,37870.0,1606.0,active,45.1001969,-87.6564652,45.09188,-87.67188,"3900 Hall Avenue STE C Marinette WI, 54143"
1653,MIDDLETON SENIOR CENTER,MIDDLETON SENIOR CENTER,1607,4422.0,1607.0,active,43.09537243,-89.50991757,43.114822,-89.521324,"7448 Hubbard Avenue Middleton WI, 53562"
1654,GRANT COUNTY VICTIM/WITNESS COORDINATOR,GRANT COUNTY VICTIM/WITNESS COORDINATOR,1608,7756.0,1608.0,active,42.8475048,-90.7101557,42.850716,-90.68956,"130 West Maple Street Lancaster WI, 53813"
1655,MIDWEST OPEN MRI,MIDWEST OPEN MRI,1610,4425.0,1610.0,active,43.0900814,-89.52733839,43.114822,-89.521324,"8309 Greenway Boulevard Suite100 Middleton WI, 53562"
1656,ZVLINACTIVE ADD CLINIC,ZVLINACTIVE ADD CLINIC,1611,1447.0,1611.0,active,44.50246479,-88.05612078,44.489906,-88.06991,"2129 South Oneida Street Suite 113 Green Bay WI, 54304"
1657,SHERIFF DEPARTMENT OF SAWYER COUNTY,SHERIFF DEPARTMENT OF SAWYER COUNTY,1612,985.0,1612.0,active,46.01651087,-91.48794636,46.020123,-91.27997,"15880 5th Street Hayward WI, 54843"
1658,SAINT ANTHONY DE PADUA CATHOLIC SCHOOL,SAINT ANTHONY DE PADUA CATHOLIC SCHOOL,1613,1698.0,1613.0,active,45.032577,-90.076503,45.05641,-89.97293,"309 MUELLER ST ATHENS WI, 54411"
1659,ZZINACTIVE JOB CORPS,ZZINACTIVE JOB CORPS,1614,1449.0,1614.0,active,44.5128597,-88.00833526,44.483376,-88.02269,"701 Cherry Street Green Bay WI, 54301"
1660,BUFFALO COUNTY VICTIM/WITNESS COORDINATOR,BUFFALO COUNTY VICTIM/WITNESS COORDINATOR,1616,7760.0,1616.0,active,44.3196956,-91.9132442,44.37871,-91.77546,"407 South 2nd Street Alma WI, 54610"
1661,CESA 7 (COOPERATIVE EDUCATION SERVICE AGENCY #7),CESA 7 (COOPERATIVE EDUCATION SERVICE AGENCY #7),1617,1451.0,1617.0,active,44.464963,-88.066804,44.489906,-88.06991,"595 BAETEN ROAD GREEN BAY WI, 54304"
1662,CESA 7 (COOPERATIVE EDUCATION SERVICE AGENCY #7),EARLY HEADSTART/HEALTHY FAMILIES: FAMILY SERVICES,1617,31624.0,1617.0,active,44.5098857,-88.0170567,44.483376,-88.02269,"300 CROOKS ST GREEN BAY WI, 54301"
1663,OCONTO FALLS AREA CHAMBER OF COMMERCE,OCONTO FALLS AREA CHAMBER OF COMMERCE,1619,165.0,1619.0,active,44.87380645,-88.14441959,44.871628,-88.183655,"PO Box 24 Oconto Falls WI, 54154"
1664,SHERIFF DEPARTMENT OF WASHBURN COUNTY,SHERIFF DEAPRTMENT OF WASHBURN COUNTY,1620,987.0,1620.0,active,45.74440583,-91.9223888,45.742157,-92.01788,"421 Highway 63 Shell Lake WI, 54871"
1665,DUNN COUNTY VICTIM/WITNESS COORDINATOR,DUNN COUNTY VICTIM/WITNESS COORDINATOR,1621,7827.0,1621.0,active,44.8875528,-91.8813865,44.8399,-91.94304,"615 Stokke Parkway Suite 1700 Menomonie WI, 54751"
1666,AURORA BAYCARE MEDICAL CENTER,AURORA BAYCARE MEDICAL CENTER,1622,1454.0,1622.0,active,44.4745585,-87.9429275,44.519512,-87.90283,"2845 GREENBRIER ROAD GREEN BAY WI, 54311"
1667,AURORA BAYCARE MEDICAL CENTER,ZZZAURORA BAYCARE MEDICAL CENTER--PHYSICIAN REFERRAL,1622,1456.0,1622.0,active,44.47343202,-87.943367,44.519512,-87.90283,"2845 Greenbriar Road Green Bay WI, 54311"
1668,ZZZINACTIVE - THE NATIONAL CENTER FOR FATHERING,ZZZINACTIVE - THE NATIONAL CENTER FOR FATHERING,1623,9354.0,1623.0,active,38.99306846,-94.70336435,38.992836,-94.67735,"10200 W 75th St Ste 267 Shawnee Mission KS, 66204"
1669,ASHLAND COUNTY GOVERNMENT,ASHLAND COUNTY DISTRICT ATTORNEY,1626,991.0,1626.0,active,46.591051,-90.8856219,46.560402,-90.926605,"201 MAIN STREET WEST Room 301 ASHLAND WI, 54806"
1670,ASHLAND COUNTY GOVERNMENT,ASHLAND COUNTY EMERGENCY MANAGEMENT,1626,993.0,1626.0,active,46.58869457,-90.87847054,46.560402,-90.926605,"220 6th St East Ashland WI, 54806"
1671,ASHLAND COUNTY GOVERNMENT,ASHLAND COUNTY FAMILY COURT COMMISSIONER,1626,994.0,1626.0,active,46.591051,-90.8856219,46.560402,-90.926605,"201 MAIN STREET WEST ASHLAND WI, 54806"
1672,ASHLAND COUNTY GOVERNMENT,ASHLAND COUNTY FORESTRY AND RECREATION DEPARTMENT,1626,996.0,1626.0,active,46.01335617,-90.49516799,46.03962,-90.58198,"304 West Michigan Street Butternut WI, 54514"
1673,ASHLAND COUNTY GOVERNMENT,ASHLAND COUNTY REGISTER OF DEEDS,1626,998.0,1626.0,active,46.591051,-90.8856219,46.560402,-90.926605,"201 MAIN STREET WEST Room 206 ASHLAND WI, 54806"
1674,ASHLAND COUNTY GOVERNMENT,ASHLAND COUNTY CLERK OF COURTS,1626,32048.0,1626.0,active,46.591083,-90.885492,46.560402,-90.926605,"201 MAIN ST W  #307 ASHLAND WI, 54806"
1675,ASHLAND COUNTY GOVERNMENT,ASHLAND COUNTY COUNTY CLERK,1626,32049.0,1626.0,active,46.591083,-90.885492,46.560402,-90.926605,"201 MAIN ST W   #202 ASHLAND WI, 54806"
1676,ASHLAND COUNTY GOVERNMENT,ASHLAND COUNTY TRESURER,1626,35068.0,1626.0,active,46.591051,-90.8856219,46.560402,-90.926605,"201 MAIN STREET WEST Room 201 ASHLAND WI, 54806"
1677,CHIPPEWA COUNTY VICTIM/WITNESS SERVICES,CHIPPEWA COUNTY VICTIM/WITNESS SERVICES,1627,7829.0,1627.0,active,44.9405362,-91.3964516,44.9462,-91.40844,"711 North Bridge Street Room 222 Chippewa Falls WI, 54729"
1678,PACIFIC INTERNATIONAL,PACIFIC INTERNATIONAL,1628,9236.0,1628.0,active,44.30744945,-89.91398694,44.23879,-89.91466,"555 Birch St Nekoosa WI, 54457"
1679,ZZZMARINETTE & MENOMINEE AMATEUR RADIO CLUB,ZZZMARINETTE & MENOMINEE AMATEUR RADIO CLUB,1629,166.0,1629.0,active,45.05553596,-87.74764272,45.04917,-87.79351,"W5170 Leslie Road Peshtigo WI, 54157"
1680,ZZZINACTIVE - STOUGHTON HOLIDAY FUND,STOUGHTON HOLIDAY FUND,1630,5249.0,1630.0,active,42.91663721,-89.21689755,42.93215,-89.20577,"381 E Main St Stoughton WI, 53589"
1681,PEPIN COUNTY VICTIM/WITNESS COORDINATOR,PEPIN COUNTY VICTIM/WITNESS COORDINATOR,1631,7832.0,1631.0,active,44.6277355,-91.9665381,44.600117,-91.899666,"315 2nd Avenue West Durand WI, 54736"
1682,ASHLAND AREA CHAMBER OF COMMERCE,ASHLAND AREA CHAMBER OF COMMERCE,1632,1003.0,1632.0,active,46.60155528,-90.86471712,46.560402,-90.926605,"1716 West Lake Shore Drive Ashland WI, 54806"
1683,ZZZ INACTIVE BROWN COUNTY FAMILY COURT OFFICE,ZZZ INACTIVE BROWN COUNTY FAMILY COURT OFFICE,1634,1461.0,1634.0,active,44.51335402,-88.01340369,44.483376,-88.02269,"100 South Jefferson Street 1st Floor Green Bay WI, 54301"
1684,"ZZZINACTIVE - WALDEN HOMES, LTD","ZZZINACTIVE - WALDEN HOMES, LTD - SPAIGHT ST",1635,5883.0,1635.0,active,43.08078865,-89.36442323,43.0707,-89.37565,"1102 Spaight St Madison WI, 53703"
1685,"ZZZINACTIVE - WALDEN HOMES, LTD","ZZZINACTIVE - WALDEN HOMES, LTD - N FOURTH ST",1635,6180.0,1635.0,active,43.54740517,-89.107998,43.12822,-89.384636,"108 N Fourth St Madison WI, 53704"
1686,"ZZZINACTIVE - WALDEN HOMES, LTD","ZZZINACTIVE - WALDEN HOMES, LTD - SPOHN AVE",1635,6182.0,1635.0,active,43.11715957,-89.36080998,43.12822,-89.384636,"1838 Spohn Ave Madison WI, 53704"
1687,SAINT MARY SCHOOL,SAINT MARY SCHOOL,1636,1153.0,1636.0,active,44.9277759,-89.8387239,44.96755,-89.82693,"716 Market Street Marathon City WI, 54448"
1688,EAU CLAIRE COUNTY VICTIM/WITNESS SERVICES,EAU CLAIRE COUNTY VICTIM/WITNESS SERVICES,1637,7762.0,1637.0,active,44.8077863,-91.5031645,44.83418,-91.483055,"721 Oxford Avenue Suite 2310 Eau Claire WI, 54703"
1689,VETERANS SERVICE OFFICE ASHLAND COUNTY,VETERANS SERVICE OFFICE ASHLAND COUNTY,1638,1005.0,1638.0,active,46.59211522,-90.8819916,46.560402,-90.926605,"201 West Main Street Room 105 Ashland WI, 54806"
1690,BIG BROTHERS BIG SISTERS OF NORTHEAST WISCONSIN,BIG BROTHERS BIG SISTERS OF NORTHEAST WISCONSIN,1640,1463.0,1640.0,active,44.522082,-88.0175816,44.542973,-88.05582,"520 NORTH BROADWAY Suite 220 GREEN BAY WI, 54303"
1691,MENOMINEE HOUSING COMMISSION,MENOMINEE HOUSING COMMISSION,1641,167.0,1641.0,active,45.10658295,-87.6250214,45.234592,-87.56343,"1801 8th Avenue Menominee MI, 49858"
1692,WHITE HOUSE GREETINGS OFFICE,WHITE HOUSE GREETINGS OFFICE,1642,1686.0,1642.0,active,38.89867094,-77.03511479,38.8926,-77.036,"1600 Pennsylvania NW Rm 39 Washington DC, 20500"
1693,SCHOOL DISTRICT OF ASHLAND,SCHOOL DISTRICT OF ASHLAND,1643,1007.0,1643.0,active,46.5681127,-90.88575821,46.560402,-90.926605,"2000 Beaser Avenue Ashland WI, 54806"
1694,BOYS & GIRLS CLUB OF GREEN BAY,BOYS & GIRLS CLUB OF GREATER GREEN BAY - WESTSIDE NAGEL UNIT,1645,1465.0,1645.0,active,44.52103487,-88.04359702,44.542973,-88.05582,"311 South Oneida Street Green Bay WI, 54303"
1695,BOYS & GIRLS CLUB OF GREEN BAY,BOYS & GIRLS CLUB OF GREATER GREEN BAY - EASTSIDE LUTSEY UNIT,1645,1468.0,1645.0,active,44.51197534,-87.98801287,44.505505,-87.96799,"1451 University Avenue Green Bay WI, 54302"
1696,SAINT JOSEPH CATHOLIC SCHOOL,SAINT JOSEPH CATHOLIC SCHOOL,1646,2456.0,1646.0,active,44.804333,-90.072891,44.799904,-90.07316,"119210 East Larch Street Stratford WI, 54484"
1697,"CRIVITZ YOUTH, INC.","CRIVITZ YOUTH, INC.",1647,168.0,1647.0,active,45.2333639,-88.0098911,45.24844,-88.10308,"713 George Street Crivitz WI, 54114"
1698,"CRIVITZ YOUTH, INC.",TEEN CENTER,1647,169.0,1647.0,active,45.23316024,-88.00969499,45.24844,-88.10308,"902 Henriette Avenue Crivitz WI, 54114"
1699,ZZINACTIVE RECOVERY WORKS,ZZINACTIVE RECOVERY WORKS,1649,1470.0,1649.0,active,44.51414595,-88.00859013,44.483376,-88.02269,"635 Pine Street Green Bay WI, 54301"
1700,SAINT MARK LUTHERAN CHURCH,SAINT MARK LUTHERAN CHURCH,1650,2459.0,1650.0,active,44.9714173,-89.6531823,44.95693,-89.71402,"600 Stevens Drive Wausau WI, 54401"
