,title,media,date,datetime,desc,link,img
65,USPS gets more blame than it deserves for ballot woes,The Fulcrum,20 Aug 2020,,"Three weeks after the Wisconsin disaster, an Ohio primary that was switched 
to most-by-mail because of Covid-19 again focused attention on the Postal...",https://thefulcrum.us/voting/vote-by-mail-2647038971,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
66,Disaster for delusional Donald as the GOP looks to Trumpless future,The Australian,3 weeks ago,2022-11-11 17:39:47.240022,"In many battleground states, turnout exceeded half of eligible voters with 
Minnesota, Michigan, Pennsylvania and Wisconsin nearing 60 per cent turnout 
while...",https://www.theaustralian.com.au/commentary/disaster-for-delusional-donald-as-the-gop-looks-to-trumpless-future/news-story/a6c778f95dee2fbe1078be25d00141cf,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
67,FEMA opens Disaster Recovery Centers in Sarasota and ...,WUSF News,1 month ago,2022-11-02 17:39:47.253968,"Now, residents can apply for help at a FEMA Disaster Recovery Center 
located ... to charge their devices and to connect via our internet and our 
Wi-Fi that...",https://wusfnews.wusf.usf.edu/economy-business/2022-10-11/fema-opens-disaster-recovery-center-sarasota-county,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
68,"Trump calls Fauci a ""disaster"" but says it would be ""a bigger bomb to fire him""",CBS News,20 Oct 2020,,"CBS News polling shows the president trailing former Vice President Joe 
Biden nationally, as well as in key swing states like Pennsylvania and 
Wisconsin.",https://www.cbsnews.com/news/trump-reportedly-calls-fauci-disaster/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
69,Hurricane Ian: Biden Issues Disaster Declaration as Florida Faces Massive Recovery Effort,Vanity Fair,9 Sept 2022,,"“Not a good sign for our democracy if I'm worried about bomb threats,” one 
Wisconsin election official tells Vanity Fair. By Eric Lutz. politics.",https://www.vanityfair.com/news/2022/09/hurricane-ian-batters-florida-biden-emergency-declaration,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
70,"Here's why CNN+ was a predictable $300m disaster, writes MEGHAN MCCAIN",Daily Mail,2 Apr 2022,,"Here's why CNN+ was a predictable $300m disaster, writes MEGHAN MCCAIN. By 
Meghan Mccain For Dailymail.Com 12:11 EST 22 Apr 2022 , updated 12:11 EST 
22 Apr...",https://www.dailymail.co.uk/news/article-10743845/Heres-CNN-predictable-300m-disaster-writes-MEGHAN-MCCAIN.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
71,Death toll rises in Kentucky flooding disaster,CBS News,Aug 2022,,"Hundreds of people in Kentucky still remain unaccounted for following one 
of the worst flooding events in state history. The death toll is also 
expected to...",https://www.cbsnews.com/video/death-toll-rises-in-kentucky-flooding-disaster/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
72,Tornadoes add to Iowa's growing string of climate-related ...,The Des Moines Register,4 Mar 2022,,"While climate change can't be tied to individual disasters, scientists say, 
NOAA's data shows ""that we're getting more damage from some severe weather 
events,""...",https://www.desmoinesregister.com/story/money/agriculture/2022/03/24/tornadoes-iowa-climate-related-disasters-derechos-flooding-storms-weather/9430309002/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
73,6 extreme disaster weather events happened June 13,VERIFYThis.com,3 Jun 2022,,"At least two deaths in Wisconsin are being investigated as potential ... 
Montana Governor Greg Gianforte declared a statewide disaster in response 
to the...",https://www.verifythis.com/article/news/verify/extreme-weather-verify/six-extreme-weather-events-did-happen-in-us-heat-flood-fire-drought-storms-june-13-2022/536-9a0c0f38-d62e-4bc1-acb5-35b31766dc41,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
74,Opinion | Our constitutional crisis is already here,The Washington Post,3 Sept 2021,,"... and send troops into Pennsylvania or Texas or Wisconsin to quell 
violent protests? ... for not doing enough to prevent this disaster are not 
being fair.",https://www.washingtonpost.com/opinions/2021/09/23/robert-kagan-constitutional-crisis/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
75,Looking back at the natural disasters that took place in India in 2021,Business Insider India,10 Dec 2021,,"While India was already battling with the COVID-19 pandemic this year, 
climate change-induced natural disasters like floods, cyclones have also 
been making...",https://www.businessinsider.in/science/environment/news/looking-back-at-the-natural-disasters-that-took-place-in-india-in-2021/slidelist/88204897.cms,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
76,Red Cross to 'stop coming' to 10 ZIP codes in Milwaukee,WISN,9 Dec 2017,,"... are exhausted from responding to disasters all over the country since 
May. ... and the Red Cross headquarters on 26th Street and Wisconsin Avenue.",https://www.wisn.com/article/red-cross-to-stop-coming-to-10-zip-codes-in-milwaukee/14513471,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
77,"Woop Christmas dinner disaster slammed for mouldy bread, small portions and broken glass",Daily Mail,5 Dec 2021,,"A service delivering deluxe Christmas dinner in a box has been branded a 
disaster by customers who had to make frantic last minute runs to the 
supermarket.",https://www.dailymail.co.uk/news/article-10343769/Woop-Christmas-dinner-disaster-slammed-mouldy-bread-small-portions-broken-glass.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
78,Most expensive climate disasters in recent decades | The ...,YourValley.net,1 month ago,2022-11-02 17:39:48.047122,"Stacker ranked the most expensive climate disasters by the billions since 
1980 by the ... causing damage in Illinois, Indiana, Nebraska, and 
Wisconsin.","https://yourvalley.net/apache-junction-independent/premium/stories/most-expensive-climate-disasters-in-recent-decades,339171","data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
79,"Yes, There Has Been Progress on Climate. No, It's Not Nearly ...",The New York Times,5 Oct 2021,,"... a climate scientist at University of Wisconsin-Madison who co-authored 
a study finding that a 3 degree trajectory could lead to an abrupt jump in 
the...",https://www.nytimes.com/interactive/2021/10/25/climate/world-climate-pledges-cop26.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
80,It's official — OxygenOS 12 for OnePlus 9 is a disaster,Tom's Guide,Dec 2021,,"For example, some people have reported that they're having trouble making 
and receiving calls, or that some animations are simply missing, or that 
Wi-Fi is...",https://www.tomsguide.com/news/its-official-oxygenos-12-for-oneplus-9-is-a-disaster,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
81,Russia hid details about nuclear accidents — here's what we know,Business Insider,9 Sept 2019,,"The Chernobyl nuclear power plant disaster was followed by three days of 
silence from the Soviet government. When officials did make a statement,...",https://www.businessinsider.com/nuclear-accidents-russia-hid-details-2019-9,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
82,World Cup 2022: Media Confronts Moral Dilemmas and Coverage Quirks in Qatar,Vanity Fair,2 weeks ago,2022-11-18 17:39:48.771689,"“Fuck Biden,” “Don't Tread on Me,” and a Wisconsin Death Trip for Our 
Times. By Jeff Sharlet. Image may contain: Portrait, Head, Photography, 
Face, Person,...",https://www.vanityfair.com/news/2022/11/world-cup-2022-qatar-media,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
83,Microsoft’s Terrible Windows 11 Launch Risks Repeating the Windows 8 Disaster,Review Geek,Jul 2021,,"Microsoft's Terrible Windows 11 Launch Risks Repeating the Windows 8 
Disaster. A Windows 11 Home screen in Dark Theme mdoe Microsoft.",https://www.reviewgeek.com/90550/how-microsoft-is-botching-the-windows-11-launch/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
84,4 Deep Underground and Secret US Military Bases,SOFREP,8 Aug 2021,,"One of the bases is even used as a command post for high-ranking government 
officials in the event of war or a major natural disaster.",https://sofrep.com/news/deep-underground-and-secret-us-military-bases/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
85,Donald Trump: Justizminister William Barr Donald erwägt ...,Frankfurter Rundschau,Dec 2020,,"Donald Trump verliert bei der US-Wahl 2020 in Wisconsin, daran ändert auch 
... November in Washington D.C. statt – und endete in einem Desaster für 
Trumps...",https://www.fr.de/politik/donald-trump-usa-wahl-2020-william-barr-joe-justizminister-rudy-giuliani-wahlbetrug-90115199.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
86,New images show burned bodies at ruined nursing home in ...,The Washington Post,3 Apr 2022,,"Ukrainian authorities have said dozens were killed in the disaster. ... 
Pro-Russian forces in the region blamed Ukraine for the disaster, claiming 
Ukrainian...",https://www.washingtonpost.com/world/2022/04/13/ukraine-nursing-home-bodies-video/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
87,LILLEY: Rogers outage disastrous in the technological age,Toronto Sun,Jul 2022,,"Even my condo building, which has Wi-Fi in some common areas, is on Rogers. 
... It took the disaster of the Rogers outage to get me working at a desk 
back...",https://torontosun.com/opinion/columnists/lilley-rogers-outage-disastrous-in-the-technological-age,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
88,Crain's New York editor's comment about AOC triggers Ocasio ...,Crain's New York Business,1 Feb 2019,,"Queens saw how the FoxConn/Wisconsin disaster is working out - a $4.5 
billion nightmare - & asked Qs. The response? “This is above you, you won't 
get it.”.",https://www.crainsnewyork.com/politics/crains-editors-amazon-comment-triggers-aoc-give-critics,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
89,First Canada Tried to Charm Trump. Now It’s Fighting Back.,The New York Times,Jun 2018,,"... (targeting the Senate majority leader, Mitch McConnell) and Wisconsin 
gherkins (the House speaker, Paul Ryan). “We were very prepared,” Freeland 
said.",https://www.nytimes.com/2018/06/09/magazine/justin-trudeau-chrystia-freeland-trade-canada-us-.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
90,6 Go Arounds - Jet Airways Boeing 737 Nearly Crash Story,Sam Chui,7 Feb 2022,,"... flight and wasting time doing unwise things is the common ticket to 
disaster. ... Virgin Hotels, Virgin Trains USA, Vistara, Volga Dnepr, 
WestJet, Wi-Fi...",https://samchui.com/2022/02/27/6-go-arounds-jet-airways-boeing-737-nearly-crash-story/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
91,"Fatigue, unclear NOTAMs led to Air Canada near-miss: NTSB ...",Runway Girl,Nov 2018,,"In the Air Canada incident, disaster was averted by 13 feet, when pilots 
realized their error and aborted landing, but it was a very close call.",https://runwaygirlnetwork.com/2018/11/fatigue-unclear-notams-led-to-air-canada-near-miss-ntsb-vice-chair/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
92,6 Git mistakes you will make — and how to fix them,InfoWorld,5 Jan 2020,,"The further you go down the list, the bigger the disasters get. Git mistake 
#1: You forgot to add changes to the last commit. This is one of the 
easiest Git...",https://www.infoworld.com/article/3514574/6-git-mistakes-you-will-make-and-how-to-fix-them.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
93,USA And Mexico – Evacuations and Rescues After Flooding ...,FloodList,Oct 2018,,"... Tennessee · Texas · Utah · Vermont · Virginia · Washington · Wisconsin 
... Using Drones for Flood Disaster Risk Reduction, Assessment and 
Recovery...",https://floodlist.com/america/usa-mexico-flooding-storm-rosa-october-2018,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
94,Top 10 operational risks for 2021,Risk.net,Mar 2021,,"... are intimately familiar with the turmoil created by dodgy Wi-Fi 
connections, ... by the US government under its Economic Injury Disaster 
Loan programme.",https://www.risk.net/risk-management/7800126/top-10-operational-risks-for-2021,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
95,The 'Itanic'—Intel's ill-fated Itanium processor—finally sinks,Network World.com,10 Aug 2021,,"The project was dubbed “Itanic” for the amount of cash being spent on it, 
its ambition, and the disaster that followed. (A chip-analyst friend bought 
the...",https://www.networkworld.com/article/3628450/the-itanic-finally-sinks.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
96,The Winter War Ghost Haunts Putin's War Today,Psychology Today,1 Mar 2022,,"The Russo-Finnish War was a near-disaster for Stalin, presaging Putin's 
war. ... Memphis, TN · Miami, FL · Milwaukee, WI · Minneapolis, MN · 
Nashville, TN...",https://www.psychologytoday.com/us/blog/peace-and-war/202203/the-winter-war-ghost-haunts-putins-war-today,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
97,Google Pixel 6 fingerprint disaster — it can stop working if ...,Tom's Guide,10 Nov 2021,,"... enhanced security reasons), then there have since been reports of 
faulty screens, ghost dialing and problems with both Wi-Fi and cellular 
connectivity.",https://www.tomsguide.com/news/google-pixel-6-fingerprint-sensor-can-stop-working-if-you-run-out-of-battery,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
98,Xenoblade Chronicles 3 Pre-Orders Are A Mess,WePC,Jun 2022,,"Pre-orders for the special edition of the game released today and are 
apparently a slight disaster, however. NOW READ: Early Black Friday deals 
are starting to...",https://www.wepc.com/news/xenoblade-chronicles-3-preorder-mess/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
99,Apocalypse here: Why Colorado is such a popular setting for humanity’s downfall,The Denver Post,Sept 2020,,"“Over 40 years of popular culture, a lot of people have looked at what's 
happening on a global scale and extrapolated these disasters that end up 
mirroring...",https://www.denverpost.com/2020/09/02/apocalypse-here-why-colorado-is-such-a-popular-setting-for-humanitys-downfall/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
100,Roblox’s cloud-native catastrophe: A post mortem,InfoWorld,1 Jan 2022,,"Data Center Internet of Things Linux Networking SD-WAN Servers Storage 
Wi-Fi · About Us |; Contact |; Republication Permissions |; Privacy 
Policy...",https://www.infoworld.com/article/3648414/robloxs-cloud-native-catastrophe-a-post-mortem.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
101,Peloton Responds After Sex and the City’s Mr. Big Dies in ‘And Just Like That’ Premiere,Us Weekly,Dec 2021,,An exercise disaster. After the Sex and the City revival...,https://www.usmagazine.com/entertainment/news/peloton-reacts-to-mr-bigs-death-in-satc-revival-and-just-like-that/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
102,TRANSCRIPT: ABC News anchor David Muir interviews ...,ABC News,5 Jan 2017,,"She should've gone to Wisconsin, she thought she had it because you're 
talking about 38 years of, ... It's -- it's a disaster what's happening 
over there.",https://abcnews.go.com/Politics/transcript-abc-news-anchor-david-muir-interviews-president/story?id=45047602,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
103,"At Guatemala volcano, weather and danger hinder search",PBS,Jun 2018,,"In past disasters in which authorities determined there was no chance of 
... Asked about that possibility, the director of Guatemala's disaster 
agency,...",https://www.pbs.org/newshour/world/at-guatemala-volcano-weather-and-danger-hinder-search,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
104,US market of “great importance” to Air Serbia,EX-YU Aviation News,2 Oct 2021,,"... Midwest airports (in Wisconsin and Indiana for example) but would 
gladly ... The flights to America are beyond a reasonable doubt a financial 
desaster...",https://www.exyuaviation.com/2021/10/us-market-of-great-importance-to-air.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
105,Volcanoes can kill thousands. We should pay closer attention ...,Massive Science,Oct 2018,,"They report any alerts to the National Coordinator for Disaster Prevention 
(CONRED). However, monitoring in Hawaii is arguably the best in the 
world,...",https://massivesci.com/articles/volcano-danger-hawaii-world-safety/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
106,"MaxLinear, Inc. (MXL) CEO Kishore Seendripu on Q2 2022 ...",Seeking Alpha,7 Jul 2022,,"We continue to see robust demand across our expanding product portfolio, in 
particular, fiber gateway access, Wi-Fi connectivity and wireless 
infrastructure...",https://seekingalpha.com/article/4526616-maxlinear-inc-mxl-ceo-kishore-seendripu-on-q2-2022-results-earnings-call-transcript,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
107,Death toll from Guatemala's erupting Volcano of Fire rises to 69,Daily Mail,Jun 2018,,"The second explosion hindered rescue efforts today as disaster workers 
pulled bodies from the brown sludge that engulfed the village of El 
Rodeo,...",https://www.dailymail.co.uk/news/article-5804245/Death-toll-Guatemalas-erupting-Volcano-Fire-rises-38.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
108,International airport project affected by COVID-19 but still on ...,Dominica News Online,6 Jun 2020,,"Since before Mr in office it has been a priority wi….alas, ... Skerrit 
always finds one Desaster or another to serve as his scapegoat why his lies 
don't...",https://dominicanewsonline.com/news/homepage/news/international-airport-project-affected-by-covid-19-but-still-on-priority-list-pm-skerrit/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
109,Chiara Schultes bei der Eishockey-WM: Unglaublich positives ...,Onetz,3 Jun 2022,,"... bei der Weltmeisterschaft im Bundesstaat Wisconsin/USA. Trotz des 
1:0-Auftaktsiegs ... Nächstes WM-Desaster: DFB-Team bei WM trotz Sieg 
ausgeschieden.",https://www.onetz.de/sport/fuchsmuehl/chiara-schultes-eishockey-wm-unglaublich-positives-gefuehl-id3600355.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
110,The Astrologer Who Predicted the Pandemic Publishes Must-Read Calendar for 2022,EIN News,5 Oct 2021,,"... Music · Natural Disasters · Politics · Religion · Real Estate ... 
Virginia (US) · Washington (US) · West Virginia (US) · Western Sahara · 
Wisconsin (US)...",https://www.einnews.com/pr_news/554724359/the-astrologer-who-predicted-the-pandemic-publishes-must-read-calendar-for-2022,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
111,"5 Underrated '80s Crossover Thrash Records, by Mikey “J.C. ...",No Echo,7 Nov 2017,,"Exodus, Fabulous Desaster (Combat Records, 1988) ... Caught One: Wisconsin 
Band Deals Out Metallic Hardcore via “Potential” (PREMIERE). Features...",https://www.noecho.net/lists/5-underrated-80s-crossover-thrash-records,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
112,Premium Economy Cutbacks At United Airlines Demonstrate ...,Live and Let's Fly,Apr 2022,,"That is why “United Next” will transform United's narrowbody fleet, adding 
more plugs, faster wi-fi, large seatback screens, and mood lighting.",https://liveandletsfly.com/united-airlines-premium-economy-liquor/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
113,NBA-Trikots 22/23: Phoenix kopiert die Konkurrenz - noch ein Lakers-Jersey,SPOX.com,30 Sept 2022,,"Sind Ray Allen, Sam Cassell und Glenn Robinson zurück in Wisconsin? ... Die 
Gründe für das Mavs-Desaster2Enttäuschend: Zwei Bayern-Stars droht gegen 
Costa...",https://www.spox.com/de/sport/ussport/nba/2207/Diashows/neue-trikots-jerseys-leaks-saison-2022-23/trikot-leaks-dallas-mavericks-los-angeles-lakers-warriors-celtics-knicks-sixers-suns-nets.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
114,AMD Ryzen 7000 im Test: So schnell sind 7950X und 7700X,ComputerBase,6 Sept 2022,,"Nach dem Takt-Desaster bei Ryzen 3000, als viele SKUs die versprochenen 
maximalen Turbotaktraten nicht erreichten, schlägt Ryzen 7000 wie Ryzen 
5000 einen...",https://www.computerbase.de/2022-09/amd-ryzen-7950x-7900x-7700x-7600x-test/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
