INTERACTION_ID,INTERACTION_CLIENTID,CLIENT_ID,SITE_ID,AGENCY_ID,PROGRAM_ID,SERVICE_ID,TAXONOMY_ID,TAXONOMY_NAME,DATEOFREFERRAL,AGENCY_PARENTID,SITESYSTEM_NAME,AGENCYSYSTEM_NAME,INTERACTIONREFERRAL_ID,AGENCYSYSTEM_PARENTNAME
1357464,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2041896,GREAT RIVERS 2-1-1
1357419,23200,23200,28400,16174,None,61692,408258,Electric Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2041806,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1357334,40712,40712,28400,16174,None,61692,408258,Electric Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2041631,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1357250,37034,37034,20037,11401,None,22967,414477,Directory Assistance,None,11401,DIRECTORY ASSISTANCE NUMBERS,DIRECTORY ASSISTANCE NUMBERS,2041458,DIRECTORY ASSISTANCE NUMBERS
1357231,31151,31151,28400,16174,None,61692,408258,Electric Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2041422,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1357192,37629,37629,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2041357,IMPACT
1357184,2890,2890,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2041344,GREAT RIVERS 2-1-1
1357175,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2041328,GREAT RIVERS 2-1-1
1357150,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2041299,GREAT RIVERS 2-1-1
1357148,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2041296,GREAT RIVERS 2-1-1
1357130,23565,23565,28435,16181,None,49818,407882,Community Shelters,None,16181,MILWAUKEE RESCUE MISSION - JOY HOUSE,MILWAUKEE RESCUE MISSION,2041270,MILWAUKEE RESCUE MISSION
1357098,26556,26556,28468,16208,None,49963,407870,Domestic Violence Shelters,None,16208,SOJOURNER FAMILY PEACE CENTER,SOJOURNER FAMILY PEACE CENTER,2041221,SOJOURNER FAMILY PEACE CENTER
1357046,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2041148,GREAT RIVERS 2-1-1
1357022,37025,37025,28400,16174,None,61692,408259,Gas Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2041108,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1357009,2679,2679,9722,4090,None,13521,413256,Crisis Residential Treatment,None,4090,LA CROSSE COUNTY JUVENILE DETENTION FACILITY,LA CROSSE COUNTY JUVENILE DETENTION FACILITY,2041084,LA CROSSE COUNTY JUVENILE DETENTION FACILITY
1356971,37268,37268,28400,16174,None,61692,408258,Electric Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2041012,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1356914,26507,26507,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2040915,IMPACT
1356850,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2040829,GREAT RIVERS 2-1-1
1356844,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2040822,GREAT RIVERS 2-1-1
1356820,34498,34498,30499,16934,None,52237,407882,Community Shelters,None,16934,211 USE - COMMUNITY SHELTER UNMET,211 USE - COMMUNITY SHELTER UNMET,2040794,211 USE - COMMUNITY SHELTER UNMET
1356812,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2040773,GREAT RIVERS 2-1-1
1356776,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2040710,GREAT RIVERS 2-1-1
1356670,39869,39869,38037,15543,None,47139,407761,Food Pantries,None,15543,MOTHER OF PERPETUAL HELP - BETHANY HOUSE,MOTHER OF PERPETUAL HELP,2040544,MOTHER OF PERPETUAL HELP
1356640,26768,26768,28397,16173,None,49699,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2040495,IMPACT
1356635,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2040491,GREAT RIVERS 2-1-1
1356624,16578,16578,12097,932,None,19342,409151,Fraud Prevention,None,932,WISCONSIN DEPARTMENT OF AGRICULTURE, TaxonomyLink_Id: None, 'ServiceSystem_Name': 'DIVISION OF TRADE AND CONSUMER PROTECTION', DateOfServiceProvided: None
1356615,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2040457,GREAT RIVERS 2-1-1
1356596,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2040436,GREAT RIVERS 2-1-1
1356592,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2040430,GREAT RIVERS 2-1-1
1356591,2670,2670,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2040429,GREAT RIVERS 2-1-1
1356590,26768,26768,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2040428,IMPACT
1356580,28411,28411,28435,16181,None,49818,407882,Community Shelters,None,16181,MILWAUKEE RESCUE MISSION - JOY HOUSE,MILWAUKEE RESCUE MISSION,2040415,MILWAUKEE RESCUE MISSION
1356556,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2040366,GREAT RIVERS 2-1-1
1356517,37025,37025,29715,15832,None,48208,411276,Food Stamps/SNAP Applications,None,15832,HUNGER TASK FORCE - MILWAUKEE ENROLLMENT SERVICES,HUNGER TASK FORCE,2040296,HUNGER TASK FORCE
1356358,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2040036,GREAT RIVERS 2-1-1
1356350,15972,15972,28400,16174,None,61692,408258,Electric Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2040019,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1356273,20440,20440,28431,16179,None,49767,411000,Emergency Dental Care,None,16179,MILWAUKEE HEALTH SERVICES - MLK HERITAGE HEALTH CENTER,MILWAUKEE HEALTH SERVICES,2039892,MILWAUKEE HEALTH SERVICES
1356171,29941,29941,30172,16832,None,52022,407761,Food Pantries,None,16832,HARVEST OUTREACH,HARVEST OUTREACH,2039709,HARVEST OUTREACH
1356139,22339,22339,28435,16181,None,49818,407882,Community Shelters,None,16181,MILWAUKEE RESCUE MISSION - JOY HOUSE,MILWAUKEE RESCUE MISSION,2039656,MILWAUKEE RESCUE MISSION
1356076,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2039552,GREAT RIVERS 2-1-1
1356051,32499,32499,30642,16801,None,62494,407761,Food Pantries,None,16801,HEPHATHA LUTHERAN CHURCH,MACCANON BROWN HOMELESS SANCTUARY,2039509,MACCANON BROWN HOMELESS SANCTUARY
1356045,22902,22902,28397,16173,None,55081,121,Housing Related Coordinated Entry,None,16173,IMPACT - 211,IMPACT,2039502,IMPACT
1355991,37629,37629,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2039365,IMPACT
1355984,2693,2693,10534,5017,None,24122,410145,Activities of Daily Living Assessment,None,5017,HOUSTON COUNTY DEPARTMENT OF HUMAN SERVICES,HOUSTON COUNTY DEPARTMENT OF HUMAN SERVICES,2039355,HOUSTON COUNTY DEPARTMENT OF HUMAN SERVICES
1355962,24530,24530,37477,23570,None,64439,3,Homelessness Prevention Programs,None,23570,MILWAUKEE RENTAL HOUSING RESOURCE CENTER,MILWAUKEE RENTAL HOUSING RESOURCE CENTER,2039319,MILWAUKEE RENTAL HOUSING RESOURCE CENTER
1355961,16037,16037,37819,16173,None,65177,121,Housing Related Coordinated Entry,None,16173,IMPACT - ST BENS,IMPACT,2039317,IMPACT
1355901,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2039232,GREAT RIVERS 2-1-1
1355870,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2039183,GREAT RIVERS 2-1-1
1355863,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2039176,GREAT RIVERS 2-1-1
1355828,25203,25203,28155,15984,None,64900,407939,Mortgage Payment Assistance,None,15984,RACINE KENOSHA COMMUNITY ACTION AGENCY - RACINE,RACINE KENOSHA COMMUNITY ACTION AGENCY,2039114,RACINE KENOSHA COMMUNITY ACTION AGENCY
1355818,2670,2670,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2039100,GREAT RIVERS 2-1-1
1355705,38423,38423,28215,16035,None,49334,407978,Low Income/Subsidized Private Rental Housing,None,16035,MERIDIAN GROUP,MERIDIAN GROUP,2038898,MERIDIAN GROUP
1355681,39869,39869,27229,15538,None,47103,407761,Food Pantries,None,15538,HOLY ASSUMPTION CATHOLIC CHURCH - 72ND STREET,HOLY ASSUMPTION CATHOLIC CHURCH,2038863,HOLY ASSUMPTION CATHOLIC CHURCH
1355615,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2038737,GREAT RIVERS 2-1-1
1355584,2670,2670,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2038685,GREAT RIVERS 2-1-1
1355562,2823,2823,11923,6205,None,26975,409315,Welfare Rights Assistance,None,6205,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF LA CROSSE COUNTY,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF LA CROSSE COUNTY,2038646,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF LA CROSSE COUNTY
1355437,20609,20609,27621,15740,None,47910,411476,Case/Care Management,None,15740,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF MILWAUKEE - MILWAUKEE COUNTY,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF MILWAUKEE,2038428,CATHOLIC CHARITIES OF THE ARCHDIOCESE OF MILWAUKEE
1355428,20609,20609,27803,15842,None,48272,407761,Food Pantries,None,15842,ALL SAINTS CATHOLIC CHURCH,ALL SAINTS CATHOLIC CHURCH,2038406,ALL SAINTS CATHOLIC CHURCH
1355416,22366,22366,32482,17904,None,55118,407761,Food Pantries,None,17904,LAKEVIEW CHURCH OF CHRIST,LAKEVIEW CHURCH OF CHRIST,2038378,LAKEVIEW CHURCH OF CHRIST
1355414,29894,29894,28434,16181,None,49843,407882,Community Shelters,None,16181,MILWAUKEE RESCUE MISSION,MILWAUKEE RESCUE MISSION,2038375,MILWAUKEE RESCUE MISSION
1355260,37629,37629,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2038102,IMPACT
1355252,26507,26507,,,,,,,,,,,,
1355248,30270,30270,19499,11342,None,22618,413247,General Crisis Intervention Hotlines,None,11342,BOYS TOWN NATIONAL HOTLINE,BOYS TOWN NATIONAL HOTLINE,2038078,BOYS TOWN NATIONAL HOTLINE
1355247,30270,30270,19247,11237,None,61031,413191,General Counseling Services,None,11237,MENTAL HEALTH AMERICA OF WISCONSIN,MENTAL HEALTH AMERICA OF WISCONSIN,2038077,MENTAL HEALTH AMERICA OF WISCONSIN
1355246,20298,20298,34924,21879,None,58921,411713,Adult Protective Intervention/Investigation,None,21879,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF WAUKESHA COUNTY,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF WAUKESHA COUNTY,2038076,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF WAUKESHA COUNTY
1355218,2670,2670,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2038034,GREAT RIVERS 2-1-1
1355217,27785,27785,37819,16173,None,65177,121,Housing Related Coordinated Entry,None,16173,IMPACT - ST BENS,IMPACT,2038044,IMPACT
1355186,2749,2749,11647,6090,None,26606,413251,Mental Health Crisis Lines,None,6090,LA CROSSE COUNTY HUMAN SERVICES DEPARTMENT - INTEGRATED SUPPORT AND RECOVERY SERVICES,LA CROSSE COUNTY HUMAN SERVICES DEPARTMENT,2037968,LA CROSSE COUNTY HUMAN SERVICES DEPARTMENT
1355141,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2037894,GREAT RIVERS 2-1-1
1355065,21138,21138,28505,16233,None,50074,408016,Beds,None,16233,ST VINCENT DE PAUL SOCIETY - MILWAUKEE,ST VINCENT DE PAUL SOCIETY - MILWAUKEE,2037758,ST VINCENT DE PAUL SOCIETY - MILWAUKEE
1354966,25220,25220,27055,15476,None,63041,408265,Water Service Payment Assistance,None,15476,COMMUNITY ADVOCATES - JAMES LOVELL ST,COMMUNITY ADVOCATES,2037549,COMMUNITY ADVOCATES
1354932,26768,26768,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2037464,IMPACT
1354916,37074,37074,28432,16179,None,49771,411003,General Dentistry,None,16179,MILWAUKEE HEALTH SERVICES - ISAAC COGGS HERITAGE HEALTH CENTER,MILWAUKEE HEALTH SERVICES,2037438,MILWAUKEE HEALTH SERVICES
1354762,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2037136,GREAT RIVERS 2-1-1
1354725,33829,33829,28617,16300,None,50252,408258,Electric Service Payment Assistance,None,16300,SALVATION ARMY OF WAUKESHA,SALVATION ARMY OF WAUKESHA,2037060,SALVATION ARMY OF WAUKESHA
1354518,33654,33654,28600,15677,None,47734,408438,Housing Complaints,None,15677,MILWAUKEE DEPARTMENT OF NEIGHBORHOOD SERVICES - ZEIDLER MUNICIPAL BUILDING,MILWAUKEE DEPARTMENT OF NEIGHBORHOOD SERVICES,2036603,MILWAUKEE DEPARTMENT OF NEIGHBORHOOD SERVICES
1354500,37629,37629,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2036572,IMPACT
1354488,2890,2890,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2036554,GREAT RIVERS 2-1-1
1354451,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2036489,GREAT RIVERS 2-1-1
1354444,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2036480,GREAT RIVERS 2-1-1
1354415,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2036426,GREAT RIVERS 2-1-1
1354397,27820,27820,37371,17379,None,64189,414358,Red Cross Disaster Service Centers,None,17379,AMERICAN RED CROSS SOUTHEAST CHAPTER,AMERICAN RED CROSS,2036390,AMERICAN RED CROSS
1354346,2702,2702,15274,6102,None,26812,413708,Senior Centers,None,6102,CITY OF ONALASKA PARKS AND RECREATION DEPARTMENT - ONALASKA COMMUNITY CENTER,CITY OF ONALASKA PARKS AND RECREATION DEPARTMENT,2036299,CITY OF ONALASKA PARKS AND RECREATION DEPARTMENT
1354330,39809,39809,27745,15823,None,48224,407978,Low Income/Subsidized Private Rental Housing,None,15823,HOUSING AUTHORITY OF THE CITY OF MILWAUKEE - HOUSING CHOICE VOUCHER PROGRAM,HOUSING AUTHORITY OF THE CITY OF MILWAUKEE,2036273,HOUSING AUTHORITY OF THE CITY OF MILWAUKEE
1354314,2679,2679,7750,73,None,56217,413256,Crisis Residential Treatment,None,73,CARE HOUSE,TELLURIAN INC,2036243,TELLURIAN INC
1354308,37323,37323,27615,15735,None,47881,413132,Talklines/Warmlines,None,15735,WARMLINE, TaxonomyLink_Id: None, 'ServiceSystem_Name': 'WARMLINE, INC.
1354235,35778,35778,28505,16233,None,50074,408016,Beds,None,16233,ST VINCENT DE PAUL SOCIETY - MILWAUKEE,ST VINCENT DE PAUL SOCIETY - MILWAUKEE,2036057,ST VINCENT DE PAUL SOCIETY - MILWAUKEE
1354211,38100,38100,28435,16181,None,49818,407882,Community Shelters,None,16181,MILWAUKEE RESCUE MISSION - JOY HOUSE,MILWAUKEE RESCUE MISSION,2035992,MILWAUKEE RESCUE MISSION
1354188,42813,42813,28400,16174,None,61692,408258,Electric Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2035938,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1354171,37641,37641,28435,16181,None,49818,407882,Community Shelters,None,16181,MILWAUKEE RESCUE MISSION - JOY HOUSE,MILWAUKEE RESCUE MISSION,2035915,MILWAUKEE RESCUE MISSION
1354148,37641,37641,28435,16181,None,49818,407882,Community Shelters,None,16181,MILWAUKEE RESCUE MISSION - JOY HOUSE,MILWAUKEE RESCUE MISSION,2035864,MILWAUKEE RESCUE MISSION
1354063,22175,22175,28434,16181,None,49843,407882,Community Shelters,None,16181,MILWAUKEE RESCUE MISSION,MILWAUKEE RESCUE MISSION,2035699,MILWAUKEE RESCUE MISSION
1354061,26787,26787,33111,18352,None,58804,407870,Domestic Violence Shelters,None,18352,FRESH START LEARNING,FRESH START LEARNING,2035692,FRESH START LEARNING
1353974,26129,26129,26909,15432,None,46349,407943,Rent Payment Assistance,None,15432,MAXIMUS - CENTURY CITY TOWER,MAXIMUS,2035545,MAXIMUS
1353970,36421,36421,26934,15440,None,46423,407978,Low Income/Subsidized Private Rental Housing,None,15440,METROPOLITAN ASSOCIATES,METROPOLITAN ASSOCIATES,2035530,METROPOLITAN ASSOCIATES
1353949,34723,34723,37820,16173,None,65177,121,Housing Related Coordinated Entry,None,16173,IMPACT - REPAIRERS OF THE BREACH,IMPACT,2035502,IMPACT
1353921,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2035453,GREAT RIVERS 2-1-1
1353779,27183,27183,27715,15807,None,48083,411614,General Minor Home Repair Programs,None,15807,REVITALIZE MILWAUKEE,REVITALIZE MILWAUKEE,2035199,REVITALIZE MILWAUKEE
1353716,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2035066,GREAT RIVERS 2-1-1
1353711,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2035058,GREAT RIVERS 2-1-1
1353700,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2052672,GREAT RIVERS 2-1-1
1353694,26507,26507,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2035025,IMPACT
1353686,38100,38100,28929,15476,None,46805,407882,Community Shelters,None,15476,COMMUNITY ADVOCATES - MILWAUKEE WOMENS CENTER,COMMUNITY ADVOCATES,2035011,COMMUNITY ADVOCATES
1353674,26357,26357,27086,15492,None,46833,409105,Municipal Police,None,15492,MILWAUKEE POLICE DEPARTMENT - DISTRICT 5,MILWAUKEE POLICE DEPARTMENT,2034997,MILWAUKEE POLICE DEPARTMENT
1353669,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2034992,GREAT RIVERS 2-1-1
1353658,19995,19995,27239,15545,None,47109,407761,Food Pantries,None,15545,GOOD SHEPHERD TRINITY CHURCH,SHERMAN PARK COMMUNITY MINISTRIES,2034976,SHERMAN PARK COMMUNITY MINISTRIES
1353657,43353,43353,27529,15674,None,64923,414516,City Government Information Services,None,15674,MILWAUKEE CITY HALL,MILWAUKEE, 'DateOfServiceProvided': None, InteractionReferral_Id: 2034975
1353610,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2034900,GREAT RIVERS 2-1-1
1353574,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2034842,GREAT RIVERS 2-1-1
1353552,34723,34723,27097,15501,None,46879,409110,Sheriff,None,15501,MILWAUKEE COUNTY SAFETY BUILDING,SHERIFF DEPARTMENT OF MILWAUKEE COUNTY,2034795,SHERIFF DEPARTMENT OF MILWAUKEE COUNTY
1353487,35440,35440,28397,16173,None,55081,121,Housing Related Coordinated Entry,None,16173,IMPACT - 211,IMPACT,2034685,IMPACT
1353475,2680,2680,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2034664,GREAT RIVERS 2-1-1
1353432,37013,37013,28400,16174,None,61692,408258,Electric Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2034592,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1353407,36573,36573,28434,16181,None,49843,407882,Community Shelters,None,16181,MILWAUKEE RESCUE MISSION,MILWAUKEE RESCUE MISSION,2034536,MILWAUKEE RESCUE MISSION
1353358,31057,31057,27521,15667,None,47692,408742,Passports,None,15667,UNITED STATES POST OFFICE - MILWAUKEE,UNITED STATES POSTAL SERVICE,2034450,UNITED STATES POSTAL SERVICE
1353348,26208,26208,32116,17703,None,59721,407761,Food Pantries,None,17703,ONE GOD MINISTRY,ONE GOD MINISTRY,2034425,ONE GOD MINISTRY
1353326,24054,24054,27737,15819,None,48139,408083,General Clothing Provision,None,15819,HOUSE OF PEACE COMMUNITY CENTER,HOUSE OF PEACE,2034378,HOUSE OF PEACE
1353303,43121,43121,27240,15546,None,47111,407761,Food Pantries,None,15546,SAINT PETER-IMMANUEL LUTHERAN CHURCH,SAINT PETER-IMMANUEL LUTHERAN CHURCH,2034340,SAINT PETER-IMMANUEL LUTHERAN CHURCH
1353223,25766,25766,28400,16174,None,61692,408258,Electric Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2034207,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1353208,16864,16864,28645,16315,None,59871,407761,Food Pantries,None,16315,ST VINCENT DE PAUL SOCIETY - KENOSHA,ST VINCENT DE PAUL SOCIETY - KENOSHA,2034185,ST VINCENT DE PAUL SOCIETY - KENOSHA
1352951,2693,2693,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2033693,GREAT RIVERS 2-1-1
1352909,38168,38168,28400,16174,None,61692,408258,Electric Service Payment Assistance,None,16174,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES - MARCIA P COGGS HUMAN SERVICE CENTER,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES,2033607,MILWAUKEE COUNTY DEPARTMENT OF HEALTH AND HUMAN SERVICES
1352884,37629,37629,28397,16173,None,49700,413132,Talklines/Warmlines,None,16173,IMPACT - 211,IMPACT,2033568,IMPACT
1352881,19334,19334,26933,15439,None,46421,408269,Electric Service Connection/Repair,None,15439,WE ENERGIES,WE ENERGIES,2033565,WE ENERGIES
1352876,2679,2679,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2033559,GREAT RIVERS 2-1-1
1352872,1688,1688,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2033552,GREAT RIVERS 2-1-1
1352867,26768,26768,28397,16173,None,49699,413247,General Crisis Intervention Hotlines,None,16173,IMPACT - 211,IMPACT,2033546,IMPACT
1352862,2841,2841,7489,754,None,54770,413132,Talklines/Warmlines,None,754,GREAT RIVERS 2-1-1,GREAT RIVERS 2-1-1,2033540,GREAT RIVERS 2-1-1
1352824,30914,30914,28130,15962,None,62466,411714,Elder/Dependent Adult Abuse Reporting,None,15962,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF RACINE COUNTY,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF RACINE COUNTY,2033453,AGING AND DISABILITY RESOURCE CENTER (ADRC) OF RACINE COUNTY
1352820,28188,28188,28435,16181,None,49818,407882,Community Shelters,None,16181,MILWAUKEE RESCUE MISSION - JOY HOUSE,MILWAUKEE RESCUE MISSION,2033448,MILWAUKEE RESCUE MISSION
1352817,28188,28188,28435,16181,None,49818,407882,Community Shelters,None,16181,MILWAUKEE RESCUE MISSION - JOY HOUSE,MILWAUKEE RESCUE MISSION,2033438,MILWAUKEE RESCUE MISSION
